city,lat,lng,country,iso2,capital,population,population_proper
Bandar-e Torkaman,36.9011,54.0708,Iran,IR,,50000,50000
Aliabad-e Katul,36.9100,54.8672,Iran,IR,,46000,46000
Azadshahr,37.0864,55.1725,Iran,IR,,40000,40000
Aqqala,37.0136,54.4558,Iran,IR,,30000,30000
Minudasht,37.2286,55.3747,Iran,IR,,25000,25000
Bandar-e Gaz,36.7747,53.9486,Iran,IR,,20000,20000
Sari,36.5633,53.0601,Iran,IR,admin,309820,309820
Amol,36.4696,52.3500,Iran,IR,,199698,199698
Babol,36.5513,52.6789,Iran,IR,,250217,250217
Qaemshahr,36.4622,52.8606,Iran,IR,,204953,204953
Neka,36.6500,53.3000,Iran,IR,,50000,50000
Chalus,36.6550,51.4200,Iran,IR,,65000,65000
Ramsar,36.9167,50.6667,Iran,IR,,35000,35000
Nowshahr,36.6500,51.5000,Iran,IR,,50000,50000
Behshahr,36.6922,53.5522,Iran,IR,,93000,93000
Kerman,30.2832,57.0788,Iran,IR,admin,537718,537718
Rafsanjan,30.4067,55.9939,Iran,IR,,161909,161909
Sirjan,29.4514,55.6800,Iran,IR,,324103,324103
Bam,29.1061,58.3569,Iran,IR,,127396,127396
Jiroft,28.6781,57.7358,Iran,IR,,130429,130429
Baft,29.2333,56.6000,Iran,IR,,35000,35000
Shahr-e Babak,30.1167,55.1167,Iran,IR,,30000,30000
Zarand,30.8125,56.5633,Iran,IR,,60000,60000
Ravar,31.2658,56.8050,Iran,IR,,20000,20000
Kahnuj,27.9500,57.7000,Iran,IR,,30000,30000
Yazd,31.8974,54.3569,Iran,IR,admin,529673,529673
Ardakan,32.3108,54.0175,Iran,IR,,75000,75000
Meybod,32.2500,54.0167,Iran,IR,,58000,58000
Taft,31.7436,54.2025,Iran,IR,,15000,15000
Bafq,31.6128,55.4106,Iran,IR,,35000,35000
Mehriz,31.5842,54.4433,Iran,IR,,25000,25000
Abarkuh,31.1289,53.2825,Iran,IR,,20000,20000
Ashkezar,32.0000,54.2000,Iran,IR,,15000,15000
Nadushan,32.0000,53.8500,Iran,IR,,8000,8000
Hamidiya,31.8500,54.3500,Iran,IR,,10000,10000
Kashan,33.9850,51.4094,Iran,IR,,305007,305007
Najafabad,32.6344,51.3664,Iran,IR,,221000,221000
Shahin Shahr,32.8634,51.5520,Iran,IR,,150000,150000
Fereydunshahr,32.9400,50.1200,Iran,IR,,15000,15000
Golpayegan,33.4536,50.2883,Iran,IR,,50000,50000
Ardestan,33.3761,52.3694,Iran,IR,,15000,15000
Natanz,33.5097,51.9069,Iran,IR,,12000,12000
Khansar,33.2200,50.3100,Iran,IR,,20000,20000
Semirom,31.4167,51.5667,Iran,IR,,25000,25000
Yasuj,30.6684,51.5876,Iran,IR,admin,134532,134532
Dogonbadan,30.3586,50.7981,Iran,IR,,96000,96000
Dehdasht,30.7947,50.5647,Iran,IR,,57000,57000
Likak,30.8883,50.1183,Iran,IR,,20000,20000
Basht,30.3611,51.1583,Iran,IR,,10000,10000
Charam,30.7500,50.7333,Iran,IR,,15000,15000
Pataveh,30.9000,51.0167,Iran,IR,,8000,8000
Sarfaryab,30.8500,50.5667,Iran,IR,,5000,5000
Sisakht,30.8600,51.4542,Iran,IR,,7855,7855
Margown,30.8500,51.1167,Iran,IR,,3000,3000
Shahr-e Kord,32.3256,50.8644,Iran,IR,admin,190441,190441
Borujen,31.9653,51.2872,Iran,IR,,52000,52000
Farsan,32.2561,50.5600,Iran,IR,,30000,30000
Lordegan,31.5125,50.8283,Iran,IR,,25000,25000
Saman,32.4511,50.9111,Iran,IR,,15000,15000
Hafshejan,32.2333,50.7833,Iran,IR,,10000,10000
